Genomes	strain	ST	ID	length	replicon	K_locus	K_type	K_locus_confidence	AGly_acquired	Col_acquired	Fcyn_acquired	Flq_acquired	Gly_acquired	MLS_acquired	Phe_acquired	Rif_acquired	Sul_acquired	Tet_acquired	Tgc_acquired	Tmt_acquired	Bla_acquired	Bla_inhR_acquired	Bla_ESBL_acquired	Bla_ESBL_inhR_acquired	Bla_Carb_acquired	iucA	iucB	iucC	iucD	iutA	iroB	iroC	iroD	iroN	rmpA	rmpD	rmpC	rmpA2
511	GCA_012970325.1_ASM1297032v1_genomic	ST15	CP052437.1	67809	IncFII,IncR	KL24	K24	High	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
511	GCA_012970325.1_ASM1297032v1_genomic	ST15	CP052438.1	65794	FII(pBK30683)	KL24	K24	High	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
511	GCA_012970325.1_ASM1297032v1_genomic	ST15	CP052439.1	9294	ColRNAI	KL24	K24	High	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
512	GCA_012970025.1_ASM1297002v1_genomic	ST48	CP052444.1	174931	IncA/C2	KL62	K62	High	aac(3)-IId^;aadA2^;rmtB;strA.v1^;strB.v1	-	-	-	-	erm(42)*	-	-	sul2	tet(G).v1	-	dfrA12	TEM-1D.v1^;TEM-1D.v1^	-	CTX-M-14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
512	GCA_012970025.1_ASM1297002v1_genomic	ST48	CP052445.1	126164	IncFIB(K)	KL62	K62	High	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	4	1	1	-	-	-	-
512	GCA_012970025.1_ASM1297002v1_genomic	ST48	CP052446.1	49279	IncN	KL62	K62	High	aac(6')-Ib-cr.v2;aadA16*	-	-	-	-	-	-	arr-3	sul1	tet(A).v1*	-	dfrA27	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
512	GCA_012970025.1_ASM1297002v1_genomic	ST48	CP052447.1	9294	ColRNAI	KL62	K62	High	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
512	GCA_012970025.1_ASM1297002v1_genomic	ST48	CP052448.1	6222	ColRNAI	KL62	K62	High	strA.v1^;strB.v1	-	-	-	-	-	-	-	sul2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
513	GCA_012970345.1_ASM1297034v1_genomic	ST789	CP052469.1	207182	IncFIB(K),IncFII	KL18	K18	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
513	GCA_012970345.1_ASM1297034v1_genomic	ST789	CP052470.1	113689	-	KL18	K18	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
513	GCA_012970345.1_ASM1297034v1_genomic	ST789	CP052471.1	89703	IncFIA(HI1),IncR	KL18	K18	Very high	aac(6')-Ib-cr.v2;aadA16*;strA.v1*;strB.v1*	-	-	qnrB6^	-	-	catII.2*	arr-3	sul1;sul1;sul2	tet(D)	-	dfrA27	-	-	CTX-M-15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
513	GCA_012970345.1_ASM1297034v1_genomic	ST789	CP052472.1	58581	IncL/M(pOXA-48)	KL18	K18	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
513	GCA_012970345.1_ASM1297034v1_genomic	ST789	CP052473.1	10071	ColRNAI	KL18	K18	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
513	GCA_012970345.1_ASM1297034v1_genomic	ST789	CP052474.1	5044	Col440I	KL18	K18	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
513	GCA_012970345.1_ASM1297034v1_genomic	ST789	CP052475.1	4654	Col440I	KL18	K18	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
514	GCA_012970405.1_ASM1297040v1_genomic	ST789	CP052477.1	194006	IncFIB(K),IncFII	KL18	K18	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
514	GCA_012970405.1_ASM1297040v1_genomic	ST789	CP052478.1	113709	-	KL18	K18	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
514	GCA_012970405.1_ASM1297040v1_genomic	ST789	CP052479.1	62715	IncFIA(HI1),IncR	KL18	K18	Very high	aac(6')-Ib-cr.v2;aadA16*	-	-	qnrB6^	-	-	-	arr-3	sul1;sul1	-	-	dfrA27	-	-	CTX-M-15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
514	GCA_012970405.1_ASM1297040v1_genomic	ST789	CP052480.1	21779	-	KL18	K18	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
514	GCA_012970405.1_ASM1297040v1_genomic	ST789	CP052481.1	9294	ColRNAI	KL18	K18	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
514	GCA_012970405.1_ASM1297040v1_genomic	ST789	CP052482.1	4654	Col440I	KL18	K18	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
514	GCA_012970405.1_ASM1297040v1_genomic	ST789	CP052483.1	2927	Col440I	KL18	K18	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
515	GCA_012970305.1_ASM1297030v1_genomic	ST307	CP052485.1	132769	IncFIB(K)	KL102	unknown (KL102)	High	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	CatB4.v1	-	sul2	-	-	dfrA14.v1^	OXA-1	-	CTX-M-15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
515	GCA_012970305.1_ASM1297030v1_genomic	ST307	CP052486.1	9294	ColRNAI	KL102	unknown (KL102)	High	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
516	GCA_012966645.1_ASM1296664v1_genomic	ST307	CP052488.1	248349	IncFIB(Mar)	KL102	unknown (KL102)	Very high	aac(6')-Ib'.v2*;aadA2	-	-	-	-	-	-	-	sul1	-	-	-	OXA-4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
516	GCA_012966645.1_ASM1296664v1_genomic	ST307	CP052489.1	155463	IncFIB(K)	KL102	unknown (KL102)	Very high	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2*;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	CatB4.v1	-	sul2	tet(A).v1	-	dfrA14.v1^	OXA-4	-	CTX-M-15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
517	GCA_012970265.1_ASM1297026v1_genomic	ST15	CP052491.1	247408	IncFIB(K),IncFII	KL112	unknown (KL112)	Very high	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2	-	-	qnrB1.v2^	-	-	CatB4.v1	-	-	tet(A).v1	-	dfrA14.v1^	OXA-1*	-	CTX-M-15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
517	GCA_012970265.1_ASM1297026v1_genomic	ST15	CP052492.1	5627	-	KL112	unknown (KL112)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
517	GCA_012970265.1_ASM1297026v1_genomic	ST15	CP052493.1	2058	ColpVC	KL112	unknown (KL112)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
518	GCA_012970385.1_ASM1297038v1_genomic	ST48	CP052495.1	231026	IncFIB(K),IncHI1B	KL62	K62	High	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	4	1	1	2	2	2	rmpA2_6-60%
518	GCA_012970385.1_ASM1297038v1_genomic	ST48	CP052496.1	100356	IncFII,IncR	KL62	K62	High	-	-	-	qnrB4	-	-	-	-	-	-	-	-	DHA-1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
518	GCA_012970385.1_ASM1297038v1_genomic	ST48	CP052497.1	9294	ColRNAI	KL62	K62	High	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
519	GCA_012970425.1_ASM1297042v1_genomic	ST17	CP052504.1	238155	ColRNAI,IncFIB(K),IncFII	KL25	K25	High	aac(3)-IId^	-	-	qnrS1	-	-	-	-	sul1	tet(A).v1	-	dfrA1.v1	LAP-2	-	CTX-M-14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
520	GCA_012970485.1_ASM1297048v1_genomic	ST307	CP052506.1	192686	IncFIB(K),IncFII	KL102	unknown (KL102)	Very high	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	CatB4.v1	-	sul2	tet(A).v1	-	dfrA14.v1^	OXA-1;TEM-1D.v1^	-	CTX-M-15^	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
520	GCA_012970485.1_ASM1297048v1_genomic	ST307	CP052507.1	46835	IncX3	KL102	unknown (KL102)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KPC-2	-	-	-	-	-	-	-	-	-	-	-	-	-
520	GCA_012970485.1_ASM1297048v1_genomic	ST307	CP052508.1	3991	ColRNAI	KL102	unknown (KL102)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
520	GCA_012970485.1_ASM1297048v1_genomic	ST307	CP052509.1	2496	ColRNAI	KL102	unknown (KL102)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
521	GCA_012970465.1_ASM1297046v1_genomic	ST17	CP052521.1	238348	ColRNAI,IncFIB(K),IncFII	KL25	K25	High	aac(3)-IId^	-	-	qnrS1	-	-	-	-	sul1	tet(A).v1	-	dfrA1.v1	LAP-2	-	CTX-M-14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
522	GCA_012967985.1_ASM1296798v1_genomic	ST17	CP052523.1	238348	ColRNAI,IncFIB(K),IncFII	KL25	K25	High	aac(3)-IId^	-	-	qnrS1	-	-	-	-	sul1	tet(A).v1	-	dfrA1.v1	LAP-2	-	CTX-M-14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
523	GCA_012971505.1_ASM1297150v1_genomic	ST11	CP052525.1	162979	IncFIB(K),IncFII	KL136	unknown (KL136)	Very high	strA.v1^;strB.v1	-	-	-	-	-	-	-	sul2	-	-	dfrA14.v1^	TEM-1D.v1^	-	CTX-M-15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
523	GCA_012971505.1_ASM1297150v1_genomic	ST11	CP052526.1	136899	IncFIA(HI1),IncFII	KL136	unknown (KL136)	Very high	-	-	-	qnrB1.v2^	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
523	GCA_012971505.1_ASM1297150v1_genomic	ST11	CP052527.1	111300	-	KL136	unknown (KL136)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
523	GCA_012971505.1_ASM1297150v1_genomic	ST11	CP052528.1	70653	-	KL136	unknown (KL136)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	CTX-M-14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
523	GCA_012971505.1_ASM1297150v1_genomic	ST11	CP052529.1	9294	ColRNAI	KL136	unknown (KL136)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
523	GCA_012971505.1_ASM1297150v1_genomic	ST11	CP052530.1	7256	ColRNAI	KL136	unknown (KL136)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
523	GCA_012971505.1_ASM1297150v1_genomic	ST11	CP052531.1	3742	-	KL136	unknown (KL136)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
523	GCA_012971505.1_ASM1297150v1_genomic	ST11	CP052532.1	3511	Col440I,Col440II	KL136	unknown (KL136)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
524	GCA_012970545.1_ASM1297054v1_genomic	ST11	CP052538.1	308167	IncFIA(HI1),IncFIB(K),IncFII,IncFII	KL136	unknown (KL136)	Very high	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	CatB4.v1	-	sul2	tet(A).v1	-	dfrA14.v1^	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
524	GCA_012970545.1_ASM1297054v1_genomic	ST11	CP052539.1	217684	IncFIB(Mar),IncHI1B	KL136	unknown (KL136)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
524	GCA_012970545.1_ASM1297054v1_genomic	ST11	CP052540.1	98029	IncFII	KL136	unknown (KL136)	Very high	-	-	-	qnrS1	-	-	-	-	-	-	-	-	TEM-1D.v1^	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
524	GCA_012970545.1_ASM1297054v1_genomic	ST11	CP052541.1	9294	ColRNAI	KL136	unknown (KL136)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
524	GCA_012970545.1_ASM1297054v1_genomic	ST11	CP052542.1	4167	Col440I	KL136	unknown (KL136)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
524	GCA_012970545.1_ASM1297054v1_genomic	ST11	CP052543.1	3511	Col440I,Col440II	KL136	unknown (KL136)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
525	GCA_012970565.1_ASM1297056v1_genomic	ST395	CP052547.1	67978	IncR	KL2	K2	High	aac(6')-Ib-cr.v2	-	-	qnrS1	-	-	CatB4.v1;catA1^	-	sul1	tet(A).v1	-	dfrA1.v1	OXA-1;TEM-1D.v1^	-	CTX-M-156?	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
525	GCA_012970565.1_ASM1297056v1_genomic	ST395	CP052548.1	9294	ColRNAI	KL2	K2	High	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
525	GCA_012970565.1_ASM1297056v1_genomic	ST395	CP052549.1	5010	-	KL2	K2	High	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
525	GCA_012970565.1_ASM1297056v1_genomic	ST395	CP052550.1	3511	Col440I,Col440II	KL2	K2	High	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
526	GCA_012970585.1_ASM1297058v1_genomic	ST789	CP052552.1	113709	-	KL18	K18	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
526	GCA_012970585.1_ASM1297058v1_genomic	ST789	CP052553.1	91636	IncFIA(HI1),IncFII	KL18	K18	Very high	-	-	-	qnrB1.v2^	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
526	GCA_012970585.1_ASM1297058v1_genomic	ST789	CP052554.1	87818	IncFIA(HI1),IncR	KL18	K18	Very high	aac(6')-Ib-cr.v2;aadA16*;strA.v1*;strB.v1*	-	-	qnrB6^	-	-	catII.2*	arr-3	sul1;sul1;sul2	tet(D)	-	dfrA27	-	-	CTX-M-15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
526	GCA_012970585.1_ASM1297058v1_genomic	ST789	CP052555.1	9294	ColRNAI	KL18	K18	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
526	GCA_012970585.1_ASM1297058v1_genomic	ST789	CP052556.1	2117	-	KL18	K18	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
527	GCA_012970605.1_ASM1297060v1_genomic	ST307	CP052558.1	260706	IncFIB(Mar)	KL102	unknown (KL102)	Very high	aac(6')-Ib'.v2*;aadA2	-	-	qnrB4	-	-	-	-	sul1;sul1	-	-	-	DHA-1;OXA-1*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
527	GCA_012970605.1_ASM1297060v1_genomic	ST307	CP052559.1	143110	IncFIB(K)	KL102	unknown (KL102)	Very high	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	CatB4.v1	-	sul2	tet(A).v1	-	dfrA14.v1^	OXA-1*	-	CTX-M-15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
528	GCA_012970625.1_ASM1297062v1_genomic	ST307	CP052561.1	138127	IncFIB(K)	KL102	unknown (KL102)	Very high	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	CatB4.v1	-	sul2	tet(A).v1	-	dfrA14.v1^	OXA-1	-	CTX-M-15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
529	GCA_012970645.1_ASM1297064v1_genomic	ST23	CP052563.1	228146	IncFIB(K),IncHI1B	KL1	K1	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	4	1	1	2	7	2	rmpA2_8*-54%
529	GCA_012970645.1_ASM1297064v1_genomic	ST23	CP052564.1	85040	IncFIB(pQil),IncFII	KL1	K1	Very high	-	-	-	qnrS1	-	-	-	-	-	-	-	-	TEM-1D.v1^	-	CTX-M-15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
530	GCA_012970685.1_ASM1297068v1_genomic	ST15	CP052566.1	133205	IncFII,IncR	KL24	K24	Very high	aac(6')-Ib-cr.v2;aadA2^	-	-	qnrB1.v2^	-	-	CatB4.v1	-	sul1	-	-	dfrA12;dfrA14.v1^	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
530	GCA_012970685.1_ASM1297068v1_genomic	ST15	CP052567.1	8619	ColRNAI	KL24	K24	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
530	GCA_012970685.1_ASM1297068v1_genomic	ST15	CP052568.1	3479	ColRNAI	KL24	K24	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
531	GCA_012970705.1_ASM1297070v1_genomic	ST307	CP052572.1	141542	IncFIB(K)	KL102	unknown (KL102)	Very high	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	CatB4.v1	-	sul2	tet(A).v1	-	dfrA14.v1^	OXA-1	-	CTX-M-15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
532	GCA_012972285.1_ASM1297228v1_genomic	ST307	CP052575.1	192688	IncFIB(K),IncFII	KL102	unknown (KL102)	Very high	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	CatB4.v1	-	sul2	tet(A).v1	-	dfrA14.v1^	OXA-1;TEM-1D.v1^	-	CTX-M-15^	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
532	GCA_012972285.1_ASM1297228v1_genomic	ST307	CP052576.1	100875	-	KL102	unknown (KL102)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
532	GCA_012972285.1_ASM1297228v1_genomic	ST307	CP052577.1	1543	-	KL102	unknown (KL102)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
532	GCA_012972285.1_ASM1297228v1_genomic	ST307	CP052578.1	1313	-	KL102	unknown (KL102)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
532	GCA_012972285.1_ASM1297228v1_genomic	ST307	CP052579.1	1278	-	KL102	unknown (KL102)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
532	GCA_012972285.1_ASM1297228v1_genomic	ST307	CP052580.1	425	-	KL102	unknown (KL102)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
532	GCA_012972285.1_ASM1297228v1_genomic	ST307	CP052581.1	313	-	KL102	unknown (KL102)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
532	GCA_012972285.1_ASM1297228v1_genomic	ST307	CP052582.1	313	-	KL102	unknown (KL102)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
532	GCA_012972285.1_ASM1297228v1_genomic	ST307	CP052583.1	305	-	KL102	unknown (KL102)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
532	GCA_012972285.1_ASM1297228v1_genomic	ST307	CP052584.1	235	-	KL102	unknown (KL102)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
533	GCA_012972055.1_ASM1297205v1_genomic	ST307	CP052597.1	202114	IncFIB(K),IncFII	KL102	unknown (KL102)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
533	GCA_012972055.1_ASM1297205v1_genomic	ST307	CP052598.1	100875	-	KL102	unknown (KL102)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
533	GCA_012972055.1_ASM1297205v1_genomic	ST307	CP052599.1	89259	IncFIB(pQil),IncFII	KL102	unknown (KL102)	Very high	-	-	-	qnrS1	-	-	-	-	-	-	-	-	TEM-1D.v1^	-	CTX-M-15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
533	GCA_012972055.1_ASM1297205v1_genomic	ST307	CP052600.1	35554	-	KL102	unknown (KL102)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
533	GCA_012972055.1_ASM1297205v1_genomic	ST307	CP052601.1	3988	ColRNAI	KL102	unknown (KL102)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
533	GCA_012972055.1_ASM1297205v1_genomic	ST307	CP052602.1	2877	-	KL102	unknown (KL102)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
533	GCA_012972055.1_ASM1297205v1_genomic	ST307	CP052603.1	1705	-	KL102	unknown (KL102)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
533	GCA_012972055.1_ASM1297205v1_genomic	ST307	CP052604.1	313	-	KL102	unknown (KL102)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
533	GCA_012972055.1_ASM1297205v1_genomic	ST307	CP052605.1	313	-	KL102	unknown (KL102)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
533	GCA_012972055.1_ASM1297205v1_genomic	ST307	CP052606.1	305	-	KL102	unknown (KL102)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
533	GCA_012972055.1_ASM1297205v1_genomic	ST307	CP052607.1	235	-	KL102	unknown (KL102)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
534	GCA_012972045.1_ASM1297204v1_genomic	ST307	CP052609.1	192686	IncFIB(K),IncFII	KL102	unknown (KL102)	Very high	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	CatB4.v1	-	sul2	tet(A).v1	-	dfrA14.v1^	OXA-1;TEM-1D.v1^	-	CTX-M-15^	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
534	GCA_012972045.1_ASM1297204v1_genomic	ST307	CP052610.1	100875	-	KL102	unknown (KL102)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
534	GCA_012972045.1_ASM1297204v1_genomic	ST307	CP052611.1	3991	ColRNAI	KL102	unknown (KL102)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
534	GCA_012972045.1_ASM1297204v1_genomic	ST307	CP052612.1	2877	-	KL102	unknown (KL102)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
534	GCA_012972045.1_ASM1297204v1_genomic	ST307	CP052613.1	1278	-	KL102	unknown (KL102)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
534	GCA_012972045.1_ASM1297204v1_genomic	ST307	CP052614.1	425	-	KL102	unknown (KL102)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
534	GCA_012972045.1_ASM1297204v1_genomic	ST307	CP052615.1	313	-	KL102	unknown (KL102)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
534	GCA_012972045.1_ASM1297204v1_genomic	ST307	CP052616.1	313	-	KL102	unknown (KL102)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
